Rank,Defenders,,Mids,,Rucks,,Forwards,
,STEVE,STATESMAN,STEVE,STATESMAN,STEVE,STATESMAN,STEVE,STATESMAN
1,Nasiah Wanganeen-Milera,Nasiah Wanganeen-Milera,Marcus Bontempelli,Marcus Bontempelli,Brodie Grundy,Brodie Grundy,Harry Sheezel,Harry Sheezel
2,Jack Sinclair,Jack Sinclair,Nick Daicos,Zak Butters,Max Gawn,Tristan Xerri,Christian Petracca,Sam Flanders
3,Connor Rozee,Lachie Whitfield,Zak Butters,Matt Rowell,Tristan Xerri,Max Gawn,Sam Flanders,Christian Petracca
4,Lachie Whitfield,Connor Rozee,Isaac Heeney,Nick Daicos,Tim English,Tim English,Izak Rankine,Riley Thilthorpe
5,Nick Blakey,Callum Mills,Finn Callaghan,Josh Dunkley,Luke Jackson,Luke Jackson,Sam Darcy,Sam Darcy
6,Lachie Ash,Josh Daicos,Hugh McCluggage,Hugh McCluggage,Darcy Cameron,Darcy Cameron,Riley Thilthorpe,Izak Rankine
7,Josh Daicos,Lachie Ash,Bailey Smith,Finn Callaghan,Jarrod Witts,Rowan Marshall,Kysaiah Pickett,Kysaiah Pickett
8,Rory Laird,Rory Laird,Matt Rowell,Jordan Dawson,Toby Nankervis,Jarrod Witts,Gryan Miers,Gryan Miers
9,Dayne Zorko,Nick Blakey,Josh Dunkley,Errol Gulden,Lloyd Meek,Lloyd Meek,Zac Bailey,Jeremy Cameron
10,Jordan Clark,Jordan Clark,Jordan Dawson,Bailey Smith,Tom De Koning,Kieren Briggs,Jeremy Cameron,Connor McDonald
11,Bailey Dale,Mason Redman,Andrew Brayshaw,Tom Green,Rowan Marshall,Toby Nankervis,Dylan Moore,Sam Draper
12,Colby McKercher,Bailey Dale,Sam Walsh,Caleb Serong,Reilly O'Brien,Jordon Sweet,Charlie Curnow,Justin McInerney
13,Callum Mills,Luke Ryan,Caleb Serong,Max Holmes,Kieren Briggs,Reilly O'Brien,Joel Freijah,Jack Graham
14,Christian Salem,Karl Amon,Zach Merrett,Isaac Heeney,Mark Blicavs,Tom De Koning,Shaun Mannagh,Dylan Moore
15,Karl Amon,Dayne Zorko,Will Ashcroft,Noah Anderson,Matt Flynn,Marc Pittonet,Bailey Humphrey,Adam Treloar
16,Tom McCarthy,Tom McCarthy,Tom Green,Andrew Brayshaw,Jordon Sweet,Sean Darcy,Harry McKay,Zac Bailey
17,Miles Bergman,Colby McKercher,Errol Gulden,Jack Steele,Marc Pittonet,Matt Flynn,Jy Simpkin,Shai Bolton
18,Mason Redman,Miles Bergman,Noah Anderson,George Hewett,Sean Darcy,Mark Blicavs,Connor McDonald,Jy Simpkin
19,Tom Stewart,Christian Salem,Jai Newcombe,Jye Caldwell,Nick Bryan,Vigo Visentini,Jack Graham,Harry McKay
20,Luke Ryan,Trent Rivers,Lachie Neale,Sam Walsh,Darcy Fort,Toby Conway,Jack Ross,Aaron Naughton
21,John Noble,Callum Wilkie,Ed Richards,Zach Merrett,,,Mattaes Phillipou,Bailey Humphrey
22,Callum Wilkie,Liam Baker,Max Holmes,Ed Richards,,,Tim Kelly,Toby Greene
23,Joshua Worrell,Joshua Worrell,Jye Caldwell,Touk Miller,,,Jordan De Goey,Shaun Mannagh
24,Jasper Fletcher,Jarman Impey,George Hewett,Will Ashcroft,,,Aaron Naughton,Mattaes Phillipou
25,Trent Rivers,Harry Himmelberg,Jack Steele,Clayton Oliver,,,Justin McInerney,Jordan De Goey
26,Kane Farrell,Tom Stewart,Luke Davies-Uniacke,Patrick Cripps,,,Adam Treloar,Ben Keays
27,James Sicily,Jasper Fletcher,Darcy Parish,Tom Liberatore,,,Sam Draper,Jack Ginnivan
28,Nick Vlaustin,Caleb Daniel,Chad Warner,Luke Davies-Uniacke,,,Josh Treacy,Joel Freijah
29,Harry Himmelberg,Darcy Wilmot,Hayden Young,Tim Taranto,,,Josh Rachele,Jack Gunston
30,Liam Baker,John Noble,Clayton Oliver,Jai Newcombe,,,Shai Bolton,Charlie Curnow
31,Josh Weddle,Sam Banks,Touk Miller,Jack Viney,,,Ben Keays,Josh Treacy
32,Nic Newman,Nic Newman,Tom Liberatore,Harley Reid,,,Patrick Dangerfield,Lachie Schulz
33,Caleb Daniel,Andrew McGrath,Patrick Cripps,Hayden Young,,,Toby Greene,Jesse Hogan
34,Darcy Wilmot,Kane Farrell,Tim Taranto,Chad Warner,,,Paul Curtis,Jack Ross
35,Sam Banks,Nick Vlastuin,Jason Horne-Francis,Darcy Parish,,,Lachie Schulz,Darcy Wilson
36,Harris Andrews,Matt Roberts,Jack Macrae,Matt Kennedy,,,Jesse Hogan,Paul Curtis
37,Andrew McGrath,Archie Roberts,Harley Reid,Adam Cerra,,,Mitch Georgiades,Cam Rayner
38,Archie Roberts,Dan Houston,Matt Kennedy,Lachie Neale,,,Max Hall,Tim Kelly
39,Jayden Short,James Sicily,Adam Cerra,Jack Macrae,,,Jack Ginnivan,Peter Wright
40,Daniel Rioli,Ryan Maric,Ollie Wines,Jason Horne-Francis,,,Jack Gunston,Riley Sanders
41,Jarman Impey,Oliver Hollands,Sam Durham,Brayden Fiorini,,,Cam Rayner,Nick Larkey
42,Conor Idun,Jayden Short,Scott Pendlebury,Ollie Wines,,,Ed Langdon,Mason Wood
43,Jordan Ridley,Daniel Rioli,Jake Soligo,Jake Soligo,,,Peter Wright,Alex Neal-Bullen
44,Liam Duggan,Zac Guthrie,Jacob Hopper,Josh Ward,,,Darcy Wilson,Jamarra Ugle-Hagan
45,Dan Houston,Josh Weddle,Tom Atkins,George Wardlaw,,,Alex Neal-Bullen,Brent Daniels
46,Zac Guthrie,Changkuoth Jiath,Josh Ward,Scott Pendlebury,,,Bradley Hill,Tom Papley
47,Oliver Hollands,Conor Idun,Luke Parker,Marcus Windhager,,,Ryley Sanders,Todd Marshall
48,Lawson Humphries,Josh Battle,George Wardlaw,Sam Durham,,,Jamie Elliott,Ed Langdon
49,Ryan Maric,Jordan Ridley,Jarrod Berry,Oliver Florent,,,Jake Waterman,Mitch Georgiades
50,Mac Andrew,Brady Hough,Tom Powell,Tom Powell,,,Connor Budarick,Rhylee West
51,Adam Saad,Bailey Williams,Oliver Dempsey,Jacob Hopper,,,Murphy Reid,Will Hayward
52,Sam Taylor,Harry Perryman,Steele Sidebottom,Tom Atkins,,,Sam Lalor,Josh Rachele
53,Changkuoth Jiath,Liam Duggan,James Worpel,Harvey Langford,,,Zac Williams,Tom Sparrow
54,Matt Roberts,Judd McVee,Harvey Langford,Jarrod Berry,,,Brent Daniels,Ben Ainsworth
55,Jack Silvagni,Wayne Milera,Daniel Curtin,Stephen Coniglio,,,Aaron Cadman,Aaron Cadman
56,Bailey Williams,Joel Jeffrey,Stephen Coniglio,Luke Parker,,,Todd Marshall,Jake Waterman
57,Wayne Milera,Nick Haynes,Brayden Fiorini,Jack Crisp,,,Nick Watson,Zac Williams
58,Jase Burgoyne,Harris Andrews,Jack Crisp,Levi Ashcroft,,,Oscar Allen,Max Hall
59,Joel Jeffrey,Zac Reid,Levi Ashcroft,James Rowbottom,,,Mason Wood,Bailey Fritsch
60,Josh Battle,Jacob Weitering,Marcus Windhager,Dion Prestia,,,Mitch Owens,Oscar Allen
61,Caleb Windsor,Brayden Maynard,Jack Viney,Cam McKenzie,,,Tyler Sonsie,Pat Lipinski
62,Brady Hough,Tom Cole,Willem Drew,James Peatling,,,Will Graham,Connor Budarick
63,Harry Perryman,Jase Burgoyne,Cam McKenzie,Tanner Bruhn,,,Shannon Neale,Bradley Hill
64,Wil Powell,Lachlan Cowan,Conor Nash,Elliot Yeo,,,Nick Larkey,Mitch Owens
65,Heath Chapman,Wil Powell,Dion Prestia,Willem Drew,,,Deven Robertson,Patrick Dangerfield
66,Jacob Weitering,Adam Saad,Oliver Florent,Steele Sidebottom,,,Harvey Thomas,Jamie Elliott
67,Nick Haynes,Caleb Windsor,James Peatling,Xavier Duursma,,,Ben Ainsworth,Tyler Sonsie
68,Keidean Coleman,Lawson Humphries,Will Brodie,Blake Acres,,,Jack Lukosius,Kai Lohman
69,Tom Cole,Mitchell Hinge,James Rowbottom,James Worpel,,,Liam Ryan,Harvey Thomas
70,Brayden Maynard,Tom McDonald,Will Day,Conor Nash,,,Kai Lohmann,Nick Watson
71,,,Elijah Hewitt,Ned Long,,,,
72,,,Tanner Bruhn,Matthew Johnson,,,,
73,,,Kane McAuliffe,Neil Erasmus,,,,
74,,,Jai Culley,Hugo Garcia,,,,
75,,,Sam Berry,Jack Bowes,,,,
76,,,Jake Lloyd,Sam Berry,,,,
77,,,Hugo Garcia,Jake Lloyd,,,,
78,,,Harry Morrison,Jagga Smith,,,,
79,,,Xavier Duursma,Lachlan Sholl,,,,
80,,,Elliot Yeo,Will Day,,,,
81,,,Ned Long,Nathan O'Driscoll,,,,
82,,,Blake Acres,Harry Morrison,,,,
83,,,Harry Rowston,Massimo D'Ambrosio,,,,
84,,,Jaeger O'Meara,Elijah Hewitt,,,,
85,,,Ryan Angwin,Xavier Lindsay,,,,
86,,,Angus Sheldrick,Ollie Dempsey,,,,
87,,,Matthew Johnson,Daniel Curtin,,,,
88,,,Massimo D'Ambrosio,Hunter Clark,,,,
89,,,Hunter Clark,Will Brodie,,,,
90,,,Lachlan Sholl,Sam Clohesy,,,,
